炎,1
熱,1
赤い,1
火,1
紅葉,1
燃焼,1
ぼっと ,1
火炎 ,1
火山,1
薪,1
火気,1
スルト,1
火災,1
燃えろ,1
火柱,1
ファイヤー,1
ファイア,1
ほむら,1
焔,1
紅蓮,1
氷,2
冷凍,2
流氷,2
雹,2
氷河,2
冷却,2
砕氷,2
水,2
霞,2
河,2
霜,2
樹氷,2
フローズン,2
アイス,2
冷たい,2
冷気,2
雪,2
女王,2
青,2
シヴァ,2
雷,3
雷鳴,3
霹靂,3
迅雷,3
サンダー,3
電気,3
神,3
稲妻,3
雷光,3
放電,3
雷電,3
紫電,3
鳴神,3
トール,3
ライトニングボルト,3
レールガン,3
雷神,3
落雷,3
ジャッジメント,3
ゼウス,3
飛べ,4
進め,4
進む,4
撃て,4
走れ,4
走る,4
撃つ,4
穿て,4
銃撃,4
貫け,4
迸れ,4
ショット,4
撃ち,4
突っ込め,4
撃って,4
走って,4
飛んで,4
貫いて,4
飛ばして,4
切り裂け,4
爆,5
膨れろ,5
膨張,5
爆発,5
膨らめ,5
大きく,5
暴れろ,5
混ざれ,5
拡大,5
暴発,5
暴走,5
散れ,5
散乱,5
エクスプロージョン,5
ダイナマイト,5
蹂躙,5
拡張,5
芸術,5
閃光,5
広げろ,5
